======================================================================
DOWNLOAD REPORT — Cloud DB Meta-Survey References
======================================================================

Total entries:   166
Downloaded:      37
Already existed: 0
Failed:          118
Skipped:         11

----------------------------------------------------------------------
KEY                                 STATUS       DETAIL
Muller2020Serverless                FAILED       Semantic Scholar API returned nothing for DOI:10.1145/3318464.3389758
Narasayya2015MultiTenant            FAILED       Semantic Scholar title search returned no results
Negi2021Steering                    FAILED       no open-access PDF available
Noy2019KGSurvey                     FAILED       Semantic Scholar API returned nothing for DOI:10.1145/3331166
Olston2008PigLatin                  FAILED       no open-access PDF available
Ongaro2014Raft                      FAILED       no open-access PDF available
Opara2017LockIn                     DOWNLOADED   openAccessPdf: https://bia.unibz.it/view/delivery/39UBZ_INST/12235286700001241/13235265310001241
Ozsu2020DistributedDB               SKIPPED      in skip list (misc/book)
Pan2024VectorDB                     FAILED       Semantic Scholar API returned nothing for DOI:10.1007/s00778-024-00864-x
Patterson2022CarbonAI               FAILED       Semantic Scholar API returned nothing for DOI:10.1109/MC.2022.3148714
Pavlo2016NewSQL                     FAILED       no open-access PDF available
Pavlo2017SelfDriving                FAILED       Semantic Scholar title search returned no results
Petersen2015SLR                     FAILED       no open-access PDF available
Politou2018GDPR                     FAILED       Semantic Scholar API returned nothing for DOI:10.1093/cybsec/tyy001
Pourreza2023DINSQL                  FAILED       Semantic Scholar title search returned no results
Rabl2019BenchmarkSurvey             FAILED       no open-access PDF available
Rahm2001SchemaMatching              DOWNLOADED   openAccessPdf: https://ul.qucosa.de/api/qucosa%3A31968/attachment/ATT-0/
Raut2019CloudReview                 FAILED       no open-access PDF available
Saeed2023XAI                        DOWNLOADED   arXiv fallback: https://arxiv.org/pdf/2111.06420.pdf
Sakr2011CloudDB                     FAILED       no open-access PDF available
Sanka2022CloudSecSurvey             FAILED       Semantic Scholar API returned nothing for DOI:10.1109/ACCESS.2022.3193881
Satyanarayanan2017Edge              FAILED       no open-access PDF available
Selinger1979QueryOpt                FAILED       Semantic Scholar title search returned no results
Shan2022Disaggregated               FAILED       Semantic Scholar title search returned no results
Shi2016Edge                         FAILED       no open-access PDF available
Shute2013F1                         FAILED       no open-access PDF available
Simmhan2005DataProvenance           FAILED       no open-access PDF available
Spillner2017TransformCloud          FAILED       Semantic Scholar title search returned no results
Stonebraker2005CStore               FAILED       Semantic Scholar title search returned no results
Stonebraker2010NewSQL               FAILED       no open-access PDF available
Stonebraker2018AutoAdmin            FAILED       Semantic Scholar title search returned no results
Strubell2019Energy                  DOWNLOADED   openAccessPdf: https://www.aclweb.org/anthology/P19-1355.pdf
Sun2019Learned                      DOWNLOADED   openAccessPdf: https://arxiv.org/pdf/1906.02560
Sun2024End2End                      FAILED       Semantic Scholar title search returned no results
Taft2020Cockroach                   FAILED       no open-access PDF available
Tan2019iBTune                       FAILED       no open-access PDF available
Thirumuruganathan2024DBLLMSurvey    DOWNLOADED   https://arxiv.org/pdf/2404.06234.pdf
Thomson2012Calvin                   FAILED       no open-access PDF available
Tomarchio2020CloudOrchestration     DOWNLOADED   openAccessPdf: https://journalofcloudcomputing.springeropen.com/track/pdf/10.1186/s13677-020-00194-7
VanAken2017OtterTune                FAILED       no open-access PDF available
Vaswani2017Transformer              FAILED       Semantic Scholar title search returned no results
Verbitski2017                       FAILED       no open-access PDF available
Verbitski2018                       FAILED       no open-access PDF available
Viotti2016Consistency               DOWNLOADED   openAccessPdf: https://arxiv.org/pdf/1512.00168
Vuppalapati2020Napa                 FAILED       Semantic Scholar title search returned no results
Wang2021Milvus                      FAILED       no open-access PDF available
Wang2024CloudDBBenchmark            FAILED       no open-access PDF available
Wang2024MACSQL                      DOWNLOADED   https://arxiv.org/pdf/2312.11242.pdf
Weikum2002Transactions              SKIPPED      in skip list (misc/book)
Woltmann2023DNNIndex                FAILED       Semantic Scholar title search returned no results
Wu2022FactorJoin                    DOWNLOADED   arXiv fallback: https://arxiv.org/pdf/2212.05526.pdf
Xiao2018OBDA                        DOWNLOADED   openAccessPdf: https://www.ijcai.org/proceedings/2018/0777.pdf
Xue2024DBGPT                        DOWNLOADED   https://arxiv.org/pdf/2312.17449.pdf
Yang2020NeuroCard                   DOWNLOADED   arXiv fallback: https://arxiv.org/pdf/2006.08109.pdf
Yang2022OceanBase                   FAILED       Semantic Scholar API returned nothing for DOI:10.14778/3554821.3554830
Yu2018Spider                        FAILED       Semantic Scholar API returned nothing for DOI:10.18653/v1/D18-1425
Zaharia2016Spark                    FAILED       Semantic Scholar API returned nothing for DOI:10.1145/2934664
Zamanian2017Chiller                 FAILED       Semantic Scholar API returned nothing for DOI:10.14778/3055330.3055335
Zhang2022CDBTune                    FAILED       no open-access PDF available
Zhang2023CDG                        FAILED       Semantic Scholar title search returned no results
Zhou2022AI4DB                       FAILED       Semantic Scholar API returned nothing for DOI:10.1109/TKDE.2020.2994641
Zhou2023LLM4DB                      DOWNLOADED   https://arxiv.org/pdf/2311.09858.pdf
Zhou2024DBot                        FAILED       no open-access PDF available
Zhu2023Pilot                        DOWNLOADED   openAccessPdf: http://eprints.lse.ac.uk/120493/1/Rosenblatt_et_al_Epistemic_parity_published.pdf
Zhu2024ConfTuning                   FAILED       Semantic Scholar title search returned no results
gartner2024dbms                     SKIPPED      in skip list (misc/book)

----------------------------------------------------------------------
